Date,Value
2017-12-31,804.52164323132
2017-11-30,786.6582756450599
2017-10-31,675.35545023697
2017-09-30,725.7733257733299
2017-08-31,760.6418955489701
2017-07-31,721.0887480445799
2017-06-30,717.93507184673
2017-05-31,727.34314484895
2017-04-30,705.93149540518
2017-03-31,749.60127591706
2017-02-28,717.7481896850701
2017-01-31,705.93149540518
2016-12-31,728.02197802198
2016-11-30,697.2217413882599
2016-10-31,743.8294689603599
2016-09-30,735.6563532592401
2016-08-31,696.3302752293599
2016-07-31,762.07115628971
